rho,R_m,psi_Wb,psi_norm,Te_keV,ne_m3,j_phi_Am2
-1.000000,4.200000,1.0660187566e+01,2.4008195816e+01,0.000000,2.0000e+19,0.0000e+00
-0.979798,4.240404,1.0877563920e+01,2.3802726949e+01,0.039992,2.3200e+19,9.5478e+03
-0.959596,4.280808,1.1097205882e+01,2.3595116580e+01,0.156719,2.6334e+19,2.6593e+04
-0.939394,4.321212,1.1319100028e+01,2.3385377397e+01,0.345386,2.9403e+19,4.8101e+04
-0.919192,4.361616,1.1543232633e+01,2.3173522375e+01,0.601293,3.2407e+19,7.2902e+04
-0.898990,4.402020,1.1769588390e+01,2.2959565981e+01,0.919846,3.5345e+19,1.0028e+05
-0.878788,4.442424,1.1998150491e+01,2.2743524102e+01,1.296545,3.8219e+19,1.2972e+05
-0.858586,4.482828,1.2228901759e+01,2.2525412975e+01,1.726994,4.1026e+19,1.6084e+05
-0.838384,4.523232,1.2461822820e+01,2.2305250912e+01,2.206897,4.3769e+19,1.9331e+05
-0.818182,4.563636,1.2696893347e+01,2.2083057128e+01,2.732054,4.6446e+19,2.2688e+05
-0.797980,4.604040,1.2934092177e+01,2.1858851624e+01,3.298369,4.9058e+19,2.6131e+05
-0.777778,4.644444,1.3173395713e+01,2.1632656708e+01,3.901844,5.1605e+19,2.9640e+05
-0.757576,4.684848,1.3414779872e+01,2.1404495141e+01,4.538582,5.4086e+19,3.3198e+05
-0.737374,4.725253,1.3658218933e+01,2.1174391235e+01,5.204785,5.6502e+19,3.6790e+05
-0.717172,4.765657,1.3903685042e+01,2.0942371320e+01,5.896756,5.8853e+19,4.0400e+05
-0.696970,4.806061,1.4151149967e+01,2.0708462080e+01,6.610896,6.1139e+19,4.4017e+05
-0.676768,4.846465,1.4400583013e+01,2.0472692530e+01,7.343707,6.3359e+19,4.7628e+05
-0.656566,4.886869,1.4651951995e+01,2.0235093090e+01,8.091793,6.5514e+19,5.1222e+05
-0.636364,4.927273,1.4905224004e+01,1.9995694867e+01,8.851854,6.7603e+19,5.4790e+05
-0.616162,4.967677,1.5160363168e+01,1.9754531770e+01,9.620694,6.9628e+19,5.8322e+05
-0.595960,5.008081,1.5417332820e+01,1.9511638456e+01,10.395213,7.1587e+19,6.1809e+05
-0.575758,5.048485,1.5676094737e+01,1.9267051052e+01,11.172414,7.3480e+19,6.5243e+05
-0.555556,5.088889,1.5936607889e+01,1.9020808344e+01,11.949398,7.5309e+19,6.8618e+05
-0.535354,5.129293,1.6198830799e+01,1.8772949535e+01,12.723367,7.7072e+19,7.1925e+05
-0.515152,5.169697,1.6462719435e+01,1.8523516246e+01,13.491624,7.8770e+19,7.5158e+05
-0.494949,5.210101,1.6728227638e+01,1.8272552107e+01,14.251569,8.0402e+19,7.8311e+05
-0.474747,5.250505,1.6995308638e+01,1.8020101325e+01,15.000704,8.1969e+19,8.1379e+05
-0.454545,5.290909,1.7263912352e+01,1.7766211242e+01,15.736630,8.3471e+19,8.4355e+05
-0.434343,5.331313,1.7533987449e+01,1.7510930374e+01,16.457049,8.4908e+19,8.7235e+05
-0.414141,5.371717,1.7805481251e+01,1.7254308516e+01,17.159763,8.6279e+19,9.0014e+05
-0.393939,5.412121,1.8078337667e+01,1.6996398686e+01,17.842672,8.7585e+19,9.2688e+05
-0.373737,5.452525,1.8352499995e+01,1.6737254479e+01,18.503779,8.8826e+19,9.5251e+05
-0.353535,5.492929,1.8627909093e+01,1.6476931798e+01,19.141183,9.0001e+19,9.7702e+05
-0.333333,5.533333,1.8904503037e+01,1.6215489175e+01,19.753086,9.1111e+19,1.0004e+06
-0.313131,5.573737,1.9182219366e+01,1.5952985649e+01,20.337790,9.2156e+19,1.0225e+06
-0.292929,5.614141,1.9460992212e+01,1.5689483480e+01,20.893695,9.3135e+19,1.0434e+06
-0.272727,5.654545,1.9740753915e+01,1.5425046622e+01,21.419302,9.4050e+19,1.0630e+06
-0.252525,5.694949,2.0021435743e+01,1.5159740042e+01,21.913212,9.4898e+19,1.0813e+06
-0.232323,5.735354,2.0302965166e+01,1.4893632296e+01,22.374126,9.5682e+19,1.0983e+06
-0.212121,5.775758,2.0585268766e+01,1.4626792781e+01,22.800844,9.6400e+19,1.1140e+06
-0.191919,5.816162,2.0868271002e+01,1.4359292901e+01,23.192268,9.7053e+19,1.1283e+06
-0.171717,5.856566,2.1151893000e+01,1.4091207207e+01,23.547397,9.7641e+19,1.1413e+06
-0.151515,5.896970,2.1436055361e+01,1.3822610752e+01,23.865333,9.8163e+19,1.1528e+06
-0.131313,5.937374,2.1720675484e+01,1.3553581609e+01,24.145276,9.8621e+19,1.1629e+06
-0.111111,5.977778,2.2005668436e+01,1.3284200060e+01,24.386526,9.9012e+19,1.1716e+06
-0.090909,6.018182,2.2290948495e+01,1.3014547132e+01,24.588484,9.9339e+19,1.1789e+06
-0.070707,6.058586,2.2576426104e+01,1.2744707474e+01,24.750650,9.9600e+19,1.1847e+06
-0.050505,6.098990,2.2862010462e+01,1.2474766916e+01,24.872625,9.9796e+19,1.1891e+06
-0.030303,6.139394,2.3147609115e+01,1.2204812846e+01,24.954107,9.9927e+19,1.1920e+06
-0.010101,6.179798,2.3433125995e+01,1.1934936069e+01,24.994899,9.9992e+19,1.1935e+06
0.010101,6.220202,2.3718464438e+01,1.1665227954e+01,24.994899,9.9992e+19,1.1935e+06
0.030303,6.260606,2.4003525078e+01,1.1395782426e+01,24.954107,9.9927e+19,1.1920e+06
0.050505,6.301010,2.4288205843e+01,1.1126695963e+01,24.872625,9.9796e+19,1.1891e+06
0.070707,6.341414,2.4572404090e+01,1.0858065586e+01,24.750650,9.9600e+19,1.1847e+06
