domain,i,j,value1,value2
plasma,0,0,24995.0003,1199820.0045
plasma,0,1,24995.0003,1199820.0045
plasma,0,2,24995.0003,1199820.0045
plasma,0,3,24995.0003,1199820.0045
plasma,0,4,24995.0003,1199820.0045
plasma,0,5,24995.0003,1199820.0045
plasma,0,6,24995.0003,1199820.0045
plasma,0,7,24995.0003,1199820.0045
plasma,0,8,24995.0003,1199820.0045
plasma,0,9,24995.0003,1199820.0045
plasma,0,10,24995.0003,1199820.0045
plasma,0,11,24995.0003,1199820.0045
plasma,0,12,24995.0003,1199820.0045
plasma,0,13,24995.0003,1199820.0045
plasma,0,14,24995.0003,1199820.0045
plasma,0,15,24995.0003,1199820.0045
plasma,0,16,24995.0003,1199820.0045
plasma,0,17,24995.0003,1199820.0045
plasma,0,18,24995.0003,1199820.0045
plasma,0,19,24995.0003,1199820.0045
plasma,0,20,24995.0003,1199820.0045
plasma,0,21,24995.0003,1199820.0045
plasma,0,22,24995.0003,1199820.0045
plasma,0,23,24995.0002,1199820.0045
plasma,0,24,24995.0002,1199820.0045
plasma,0,25,24995.0002,1199820.0045
plasma,0,26,24995.0002,1199820.0045
plasma,0,27,24995.0002,1199820.0045
plasma,0,28,24995.0002,1199820.0045
plasma,0,29,24995.0002,1199820.0045
plasma,0,30,24995.0002,1199820.0045
plasma,0,31,24995.0002,1199820.0045
plasma,0,32,24995.0002,1199820.0045
plasma,0,33,24995.0002,1199820.0045
plasma,0,34,24995.0002,1199820.0045
plasma,0,35,24995.0002,1199820.0045
plasma,0,36,24995.0002,1199820.0045
plasma,0,37,24995.0002,1199820.0045
plasma,0,38,24995.0002,1199820.0045
plasma,0,39,24995.0002,1199820.0045
plasma,0,40,24995.0002,1199820.0045
plasma,0,41,24995.0002,1199820.0045
plasma,0,42,24995.0002,1199820.0045
plasma,0,43,24995.0002,1199820.0045
plasma,0,44,24995.0002,1199820.0045
plasma,0,45,24995.0002,1199820.0045
plasma,0,46,24995.0002,1199820.0045
plasma,0,47,24995.0002,1199820.0045
plasma,0,48,24995.0002,1199820.0045
plasma,0,49,24995.0002,1199820.0045
plasma,0,50,24995.0002,1199820.0045
plasma,0,51,24995.0002,1199820.0045
plasma,0,52,24995.0002,1199820.0045
plasma,0,53,24995.0002,1199820.0045
plasma,0,54,24995.0002,1199820.0045
plasma,0,55,24995.0002,1199820.0045
plasma,0,56,24995.0002,1199820.0045
plasma,0,57,24995.0002,1199820.0045
plasma,0,58,24995.0002,1199820.0045
plasma,0,59,24995.0002,1199820.0045
plasma,0,60,24995.0002,1199820.0045
plasma,0,61,24995.0002,1199820.0045
plasma,0,62,24995.0002,1199820.0045
plasma,0,63,24995.0002,1199820.0045
plasma,0,64,24995.0002,1199820.0045
plasma,0,65,24995.0002,1199820.0045
plasma,0,66,24995.0002,1199820.0045
plasma,0,67,24995.0002,1199820.0045
plasma,0,68,24995.0003,1199820.0045
plasma,0,69,24995.0003,1199820.0045
plasma,0,70,24995.0003,1199820.0045
plasma,0,71,24995.0003,1199820.0045
plasma,0,72,24995.0003,1199820.0045
plasma,0,73,24995.0003,1199820.0045
plasma,0,74,24995.0003,1199820.0045
plasma,0,75,24995.0003,1199820.0045
plasma,0,76,24995.0003,1199820.0045
plasma,0,77,24995.0003,1199820.0045
plasma,0,78,24995.0003,1199820.0045
plasma,0,79,24995.0003,1199820.0045
plasma,0,80,24995.0003,1199820.0045
plasma,0,81,24995.0003,1199820.0045
plasma,0,82,24995.0003,1199820.0045
plasma,0,83,24995.0003,1199820.0045
plasma,0,84,24995.0003,1199820.0045
plasma,0,85,24995.0003,1199820.0045
plasma,0,86,24995.0003,1199820.0045
plasma,0,87,24995.0003,1199820.0045
plasma,0,88,24995.0003,1199820.0045
plasma,0,89,24995.0003,1199820.0045
plasma,0,90,24995.0003,1199820.0045
plasma,0,91,24995.0003,1199820.0045
plasma,0,92,24995.0003,1199820.0045
plasma,0,93,24995.0003,1199820.0045
plasma,0,94,24995.0003,1199820.0045
plasma,0,95,24995.0003,1199820.0045
plasma,0,96,24995.0003,1199820.0045
plasma,0,97,24995.0003,1199820.0045
plasma,0,98,24995.0003,1199820.0045
plasma,0,99,24995.0003,1199820.0045
plasma,0,100,24995.0003,1199820.0045
plasma,0,101,24995.0003,1199820.0045
plasma,0,102,24995.0003,1199820.0045
plasma,0,103,24995.0003,1199820.0045
plasma,0,104,24995.0003,1199820.0045
plasma,0,105,24995.0003,1199820.0045
plasma,0,106,24995.0003,1199820.0045
plasma,0,107,24995.0003,1199820.0045
plasma,0,108,24995.0003,1199820.0045
plasma,0,109,24995.0003,1199820.0045
plasma,0,110,24995.0003,1199820.0045
plasma,0,111,24995.0003,1199820.0045
plasma,0,112,24995.0003,1199820.0045
plasma,0,113,24995.0002,1199820.0045
plasma,0,114,24995.0002,1199820.0045
plasma,0,115,24995.0002,1199820.0045
plasma,0,116,24995.0002,1199820.0045
plasma,0,117,24995.0002,1199820.0045
plasma,0,118,24995.0002,1199820.0045
plasma,0,119,24995.0002,1199820.0045
plasma,0,120,24995.0002,1199820.0045
plasma,0,121,24995.0002,1199820.0045
plasma,0,122,24995.0002,1199820.0045
plasma,0,123,24995.0002,1199820.0045
plasma,0,124,24995.0002,1199820.0045
plasma,0,125,24995.0002,1199820.0045
plasma,0,126,24995.0002,1199820.0045
plasma,0,127,24995.0002,1199820.0045
plasma,0,128,24995.0002,1199820.0045
plasma,0,129,24995.0002,1199820.0045
plasma,0,130,24995.0002,1199820.0045
plasma,0,131,24995.0002,1199820.0045
plasma,0,132,24995.0002,1199820.0045
