domain,ir,itheta,iphi,Te,j_phi
plasma,0,0,14,24995.000250000066,1199820.004500075
plasma,0,1,14,24995.000250000063,1199820.004500075
plasma,0,2,14,24995.000250000056,1199820.004500075
plasma,0,3,14,24995.000250000052,1199820.004500075
plasma,0,4,14,24995.000250000045,1199820.004500075
plasma,0,5,14,24995.00025000004,1199820.004500075
plasma,0,6,14,24995.00025000004,1199820.004500075
plasma,0,7,14,24995.000250000034,1199820.004500075
plasma,0,8,14,24995.00025000003,1199820.004500075
plasma,0,9,14,24995.000250000023,1199820.004500075
plasma,0,10,14,24995.00025000002,1199820.004500075
plasma,0,11,14,24995.000250000012,1199820.004500075
plasma,0,12,14,24995.00025000001,1199820.004500075
plasma,0,13,14,24995.000249999997,1199820.004500075
plasma,0,14,14,24995.000249999994,1199820.004500075
plasma,0,15,14,24995.000249999986,1199820.004500075
plasma,0,16,14,24995.000249999983,1199820.004500075
plasma,0,17,14,24995.000249999975,1199820.004500075
plasma,0,18,14,24995.000249999972,1199820.004500075
plasma,0,19,14,24995.000249999965,1199820.004500075
plasma,0,20,14,24995.00024999996,1199820.004500075
plasma,0,21,14,24995.000249999954,1199820.004500075
plasma,0,22,14,24995.00024999995,1199820.004500075
plasma,0,23,14,24995.000249999946,1199820.004500075
plasma,0,24,14,24995.00024999994,1199820.004500075
plasma,0,25,14,24995.000249999935,1199820.004500075
plasma,0,26,14,24995.000249999932,1199820.004500075
plasma,0,27,14,24995.00024999993,1199820.004500075
plasma,0,28,14,24995.000249999925,1199820.004500075
plasma,0,29,14,24995.000249999925,1199820.004500075
plasma,0,30,14,24995.00024999992,1199820.004500075
plasma,0,31,14,24995.000249999917,1199820.004500075
plasma,0,32,14,24995.000249999914,1199820.004500075
plasma,0,33,14,24995.000249999914,1199820.004500075
plasma,0,34,14,24995.000249999914,1199820.004500075
plasma,0,35,14,24995.000249999914,1199820.004500075
plasma,0,36,14,24995.00024999991,1199820.004500075
plasma,0,37,14,24995.00024999991,1199820.004500075
plasma,0,38,14,24995.00024999991,1199820.004500075
plasma,0,39,14,24995.00024999991,1199820.004500075
plasma,0,40,14,24995.000249999914,1199820.004500075
plasma,0,41,14,24995.000249999914,1199820.004500075
plasma,0,42,14,24995.000249999914,1199820.004500075
plasma,0,43,14,24995.000249999914,1199820.004500075
plasma,0,44,14,24995.000249999917,1199820.004500075
plasma,0,45,14,24995.00024999992,1199820.004500075
plasma,0,46,14,24995.000249999925,1199820.004500075
plasma,0,47,14,24995.000249999925,1199820.004500075
plasma,0,48,14,24995.00024999993,1199820.004500075
plasma,0,49,14,24995.000249999932,1199820.004500075
plasma,0,50,14,24995.000249999935,1199820.004500075
plasma,0,51,14,24995.00024999994,1199820.004500075
plasma,0,52,14,24995.000249999946,1199820.004500075
plasma,0,53,14,24995.00024999995,1199820.004500075
plasma,0,54,14,24995.000249999954,1199820.004500075
plasma,0,55,14,24995.00024999996,1199820.004500075
plasma,0,56,14,24995.000249999965,1199820.004500075
plasma,0,57,14,24995.000249999972,1199820.004500075
plasma,0,58,14,24995.000249999975,1199820.004500075
plasma,0,59,14,24995.000249999983,1199820.004500075
plasma,0,60,14,24995.000249999986,1199820.004500075
plasma,0,61,14,24995.000249999994,1199820.004500075
plasma,0,62,14,24995.000249999997,1199820.004500075
plasma,0,63,14,24995.00025000001,1199820.004500075
plasma,0,64,14,24995.000250000012,1199820.004500075
plasma,0,65,14,24995.00025000002,1199820.004500075
plasma,0,66,14,24995.000250000023,1199820.004500075
plasma,0,67,14,24995.00025000003,1199820.004500075
